"","ref_short","Genotype","Timepoint","TimeGeno","lineage_group","n_cells","n_expressed","percent_expressed","expression_level","expression_all_cells"
"121","MGE","cKO","P56","P56_cKO","Inhibitory Neuron",53,13,24.53,1.02,0.25
"122","NPC","cKO","P08","P08_cKO","Glial",605,146,24.13,1.4,0.34
"123","MFOL","cKO","P23","P23_cKO","Oligodendrocytes",333,80,24.02,1.23,0.3
"124","Cajal_Retzius","cKO","P56","P56_cKO","Other",217,52,23.96,1.22,0.29
"125","Macrophages","Control","P00","P00_Control","Immune",13,3,23.08,1.29,0.3
"126","Granule_Blast_DG","Control","P08","P08_Control","Excitatory Neuron",145,33,22.76,1.47,0.34
"127","RGL_DG","Control","P00","P00_Control","Glial",225,50,22.22,1.45,0.32
"128","OPC","Control","P00","P00_Control","Oligodendrocytes",197,43,21.83,1.17,0.26
"129","Microglia","Control","P00","P00_Control","Glial",29,6,20.69,1.13,0.23
"130","Pericytes","Control","P56","P56_Control","Vascular",88,18,20.45,1.36,0.28
"131","Mature_OL","Control","P23","P23_Control","Oligodendrocytes",157,32,20.38,1.43,0.29
"132","Vascular","cKO","P56","P56_cKO","Vascular",108,22,20.37,1.3,0.27
"133","Ex_Cortex","Control","P00","P00_Control","Excitatory Neuron",5,1,20,1.26,0.25
"134","Granule_DG","Control","P00","P00_Control","Excitatory Neuron",15,3,20,1.56,0.31
"135","Microglia","cKO","P00","P00_cKO","Glial",15,3,20,1.19,0.24
"136","Pericytes","Control","P08","P08_Control","Vascular",45,9,20,1.33,0.27
"137","Pericytes","cKO","P08","P08_cKO","Vascular",121,24,19.83,1.02,0.2
"138","Mature_OL","cKO","P23","P23_cKO","Oligodendrocytes",154,30,19.48,1.47,0.29
"139","Vascular","Control","P56","P56_Control","Vascular",141,26,18.44,1.65,0.3
"140","Mature_OL","Control","P56","P56_Control","Oligodendrocytes",489,89,18.2,1.72,0.31
"141","Granule_Blast_DG","cKO","P08","P08_cKO","Excitatory Neuron",912,157,17.21,1.49,0.26
"142","Granule_DG","cKO","P00","P00_cKO","Excitatory Neuron",47,8,17.02,1.69,0.29
"143","Macrophages","cKO","P56","P56_cKO","Immune",6,1,16.67,0.89,0.15
"144","Interneuron","Control","P00","P00_Control","Inhibitory Neuron",91,15,16.48,1.1,0.18
"145","COP","cKO","P23","P23_cKO","Oligodendrocytes",116,19,16.38,1.01,0.17
"146","Macrophages","cKO","P08","P08_cKO","Immune",70,11,15.71,1.05,0.17
"147","Pericytes","Control","P23","P23_Control","Vascular",78,12,15.38,1.14,0.18
"148","Vascular","cKO","P23","P23_cKO","Vascular",124,19,15.32,1.51,0.23
"149","Pericytes","cKO","P23","P23_cKO","Vascular",79,12,15.19,1.48,0.22
"150","Pericytes","cKO","P56","P56_cKO","Vascular",64,9,14.06,1.1,0.16
"151","Mature_OL","cKO","P56","P56_cKO","Oligodendrocytes",398,55,13.82,1.88,0.26
"152","Granule_Blast_DG","cKO","P23","P23_cKO","Excitatory Neuron",51,7,13.73,1.33,0.18
"153","Vascular","Control","P23","P23_Control","Vascular",103,14,13.59,1.14,0.15
"154","Microglia","Control","P08","P08_Control","Glial",67,9,13.43,1.57,0.21
"155","RGL_DG","cKO","P23","P23_cKO","Glial",55,7,12.73,1.44,0.18
"156","Microglia","Control","P56","P56_Control","Glial",111,13,11.71,1.97,0.23
"157","Granule_Blast_DG","Control","P23","P23_Control","Excitatory Neuron",69,8,11.59,1.46,0.17
"158","Microglia","cKO","P08","P08_cKO","Glial",304,35,11.51,1.64,0.19
"159","Microglia","cKO","P23","P23_cKO","Glial",240,27,11.25,1.85,0.21
"160","Microglia","Control","P23","P23_Control","Glial",177,15,8.47,1.81,0.15
"161","Granule_Blast_DG","cKO","P56","P56_cKO","Excitatory Neuron",13,1,7.69,1.77,0.14
"162","Microglia","cKO","P56","P56_cKO","Glial",130,9,6.92,1.64,0.11
"163","Macrophages","Control","P08","P08_Control","Immune",21,1,4.76,0.87,0.04
"164","Granule_Blast_DG","Control","P56","P56_Control","Excitatory Neuron",8,0,0,NA,0
"165","MGE","cKO","P08","P08_cKO","Inhibitory Neuron",5,0,0,NA,0
"166","Macrophages","Control","P23","P23_Control","Immune",5,0,0,NA,0
"167","Macrophages","Control","P56","P56_Control","Immune",2,0,0,NA,0
"168","Macrophages","cKO","P23","P23_cKO","Immune",7,0,0,NA,0
"169","Trilaminar","Control","P00","P00_Control","Other",1,0,0,NA,0
